"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 05","51.75","48.21","52.28","44.60","1.59M","7.37"
"Jan 05","48.20","43.10","49.75","41.25","1.84M","10.93"
"Dec 04","43.45","49.07","49.12","40.25","1.85M","-11.56"
"Nov 04","49.13","51.82","52.50","45.25","1.81M","-5.08"
"Oct 04","51.76","49.64","55.67","49.20","2.08M","4.27"
"Sep 04","49.64","42.11","50.47","42.11","2.04M","17.85"
"Aug 04","42.12","43.69","49.40","41.30","2.23M","-3.84"
"Jul 04","43.80","37.05","43.85","36.69","1.75M","18.22"
"Jun 04","37.05","40.40","42.45","35.52","1.95M","-7.10"
"May 04","39.88","37.39","41.85","37.25","1.89M","6.69"
"Apr 04","37.38","35.82","38.30","33.30","1.97M","4.53"
"Mar 04","35.76","36.16","38.50","34.75","2.00M","-1.11"
"Feb 04","36.16","33.20","36.23","32.20","1.64M","9.41"
"Jan 04","33.05","32.40","36.37","32.27","1.83M","1.63"
"Dec 03","32.52","30.26","33.93","29.66","1.55M","6.94"
"Nov 03","30.41","29.13","33.55","28.47","1.57M","4.47"
"Oct 03","29.11","29.15","32.60","28.26","1.73M","-0.31"
"Sep 03","29.20","31.28","31.40","26.65","1.65M","-7.51"
"Aug 03","31.57","30.58","32.85","30.10","1.66M","3.37"
"Jul 03","30.54","30.12","32.10","29.17","1.53M","1.16"
"Jun 03","30.19","29.49","32.50","28.53","1.53M","2.13"
"May 03","29.56","25.95","29.65","25.42","1.63M","14.57"
"Apr 03","25.80","31.16","31.32","25.04","1.48M","-16.88"
"Mar 03","31.04","36.45","38.20","26.30","1.58M","-15.19"
"Feb 03","36.60","33.33","39.99","32.55","1.71M","9.22"
"Jan 03","33.51","31.60","35.20","29.75","1.89M","7.40"
"Dec 02","31.20","26.90","33.65","26.57","1.63M","16.03"
"Nov 02","26.89","27.20","27.56","24.82","1.56M","-1.21"
"Oct 02","27.22","30.45","31.18","26.53","1.87M","-10.61"
"Sep 02","30.45","29.00","31.39","27.62","1.48M","5.07"
"Aug 02","28.98","27.00","30.32","26.00","1.77M","7.25"
"Jul 02","27.02","26.89","28.10","25.73","1.59M","0.60"
"Jun 02","26.86","25.26","27.05","23.80","1.52M","6.12"
"May 02","25.31","27.25","29.54","24.40","1.88M","-7.26"
"Apr 02","27.29","26.46","28.35","23.31","1.80M","3.72"
"Mar 02","26.31","21.80","26.38","21.62","1.57M","21.02"
"Feb 02","21.74","19.47","21.85","19.09","1.46M","11.60"
"Jan 02","19.48","19.90","22.00","17.85","1.53M","-1.81"
"Dec 01","19.84","19.40","21.50","17.80","1.20M","2.06"
"Nov 01","19.44","21.26","22.62","16.70","1.54M","-8.22"
"Oct 01","21.18","23.50","23.98","20.80","1.36M","-9.60"
"Sep 01","23.43","27.17","29.98","20.30","1.20M","-13.86"
"Aug 01","27.20","26.35","28.42","26.28","1.48M","3.23"
"Jul 01","26.35","26.31","28.29","24.54","1.39M","0.38"
"Jun 01","26.25","28.48","29.63","25.10","1.50M","-7.47"
"May 01","28.37","28.43","30.20","27.05","1.29M","-0.32"
"Apr 01","28.46","26.35","29.04","25.49","1.26M","8.25"
"Mar 01","26.29","27.41","29.15","25.70","1.47M","-4.02"
"Feb 01","27.39","28.70","31.87","27.36","1.34M","-4.43"
"Jan 01","28.66","26.90","32.70","26.65","1.37M","6.94"
"Dec 00","26.80","33.76","34.15","25.58","1.22M","-20.76"
"Nov 00","33.82","32.69","35.84","32.10","1.29M","3.43"
"Oct 00","32.70","30.97","37.00","30.19","1.42M","6.03"
"Sep 00","30.84","33.00","37.80","30.20","1.59M","-6.88"
"Aug 00","33.12","27.36","33.70","27.26","1.44M","20.74"
"Jul 00","27.43","31.15","32.35","27.35","1.30M","-15.60"
"Jun 00","32.50","29.00","33.40","28.87","1.48M","12.03"
"May 00","29.01","25.55","30.82","25.52","1.30M","12.70"
"Apr 00","25.74","26.85","27.50","23.70","1.13M","-4.31"
"Mar 00","26.90","30.49","34.37","26.05","1.48M","-11.60"
"Feb 00","30.43","27.60","30.83","27.41","1.33M","10.09"
"Jan 00","27.64","25.20","29.95","24.02","1.45M","7.97"
"","","","","","",""
"","Highest:147.27","Lowest:16.70","Difference:130.57","Average:62.30","Change %:140.78"
